wave, supergroup,trend,label, mortRate, logmortRate, smokeRate,logSmokeRate, wealth, logwealth, count, logcount,ageAve,logageAve
2,56,1,agecat1;2;3.0,0.023809524,-3.737669618,0.130434783,-2.036881927,110014.6071,11.60836843,42,4.112457256,57.46386832,4.744271847
2,57,1,agecat1;2;3.0,0.04,-3.218875825,0.098591549,-2.316769728,18564.74074,9.829019402,150,5.347276117,84.19935315,4.586956552
2,58,1,agecat1;2;3.0,0.012345679,-4.394449155,0.25,-1.386294361,28962.30233,10.27375034,81,4.823830643,60.76325504,5.003717871
2,59,1,agecat1;2;3.0,0.028571429,-3.555348061,0.411764706,-0.887303195,27131,10.20843226,35,4.292446232,57.65317413,4.75038083
2,60,1,agecat1;2;3.0,0.008928571,-4.718498871,0.359375,-1.023388867,32205.38536,10.37988896,112,4.792347043,69.20376309,5.03928079
2,61,1,agecat1;2;3.0,0.023809524,-3.737669618,0.282051282,-1.265666373,42982.52941,10.66854902,84,4.718624019,61.23503201,4.957495697
2,62,1,agecat1;2;3.0,0.027777778,-3.583518938,0.303030303,-1.193922468,11131.54167,9.317537949,72,4.693222692,77.26771336,4.811170325
2,63,1,agecat1;2;3.0,0.00617284,-5.087596335,0.222222222,-1.504077397,108382.3476,11.59342051,162,5.143491612,64.74330229,4.860810318
2,64,1,agecat1;2;3.0,0.061538462,-2.788092909,0.151515152,-1.887069649,16554.33333,9.714403179,65,4.552082021,84.72195526,5.396569861
2,65,1,agecat1;2;3.0,0.026315789,-3.63758616,0.384615385,-0.955511445,44531.48889,10.70395183,76,5.122769838,69.33971667,5.187788126
2,66,1,agecat1;2;3.0,0.005714286,-5.164785974,0.459770115,-0.777028665,26149.97895,10.17160366,175,5.485750009,54.76274468,4.069369164
2,67,1,agecat1;2;3.0,0.01875,-3.976561527,0.151898734,-1.884541203,51138.704,10.84229691,160,5.693596865,77.66038222,4.850891361
2,68,1,agecat1;2;3.0,0.018181818,-4.007333185,0.3,-1.203972804,41193.97368,10.62604725,55,4.715881652,72.73834632,4.855605967
2,69,1,agecat1;2;3.0,0.071428571,-2.63905733,0.714285714,-0.336472237,219857.7474,12.30073601,14,2.936801719,58.3784221,4.870255259
2,70,1,agecat1;2;3.0,0.029850746,-3.511545439,0.295081967,-1.220502106,53969.07619,10.8961665,134,5.38029421,73.51887486,4.549387749
2,71,1,agecat1;2;3.0,0.006622517,-5.017279837,0.2,-1.609437912,163942.3472,12.0072701,151,5.38443452,58.14904749,4.102286694
2,72,1,agecat1;2;3.0,0.023809524,-3.737669618,0.578947368,-0.546543706,31973.42857,10.37266048,42,4.627536501,58.05111458,4.378936684
2,73,1,agecat1;2;3.0,0.015873016,-4.143134726,0.194444444,-1.637608789,132680.4095,11.79569858,63,5.111773349,60.8589907,4.78086134
2,74,1,agecat1;2;3.0,0.017241379,-4.060443011,0.125,-2.079441542,14406.4359,9.575430323,58,4.885600388,84.00235194,4.917070266
2,75,1,agecat1;2;3.0,0.055555556,-2.890371758,0.107142857,-2.233592222,24772.125,10.11747431,54,4.14814769,83.941486,4.789445482
2,76,1,agecat1;2;3.0,0.020833333,-3.871201011,0.4,-0.916290732,39058.52839,10.57281653,48,4.230993438,57.54082456,4.712504708
2,77,1,agecat1;2;3.0,0.083333333,-2.48490665,0.375,-0.980829253,22841.84615,10.03634949,24,3.720649566,72.23258045,4.682980414
2,78,1,agecat1;2;3.0,0.035714286,-3.33220451,0.142857143,-1.945910149,56243.88095,10.93745253,56,4.435607929,60.912956,4.782087002
2,79,1,agecat1;2;3.0,0.071428571,-2.63905733,0.25,-1.386294361,112260.6667,11.62857883,14,2.951495733,61.0712513,4.135260735
2,80,1,agecat1;2;3.0,0.076923077,-2.564949357,0.25,-1.386294361,163777.4,12.00626347,13,3.424588789,77.62931957,4.865634328
2,81,1,agecat1;2;3.0,0.023529412,-3.749504076,0.411764706,-0.887303195,42683.42127,10.66156586,85,5.258228348,55.22485194,4.879573964
2,82,1,agecat1;2;3.0,0.047619048,-3.044522438,0.555555556,-0.587786665,33182.8,10.40978695,21,3.218838268,57.82578175,4.075683966
2,83,1,agecat1;2;3.0,0.01369863,-4.290459441,0.35483871,-1.036091932,29570.24324,10.29452384,73,4.393372043,65.01839172,4.807312889
2,84,1,agecat1;2;3.0,0.035714286,-3.33220451,0.473684211,-0.747214402,33426.8,10.41711325,28,3.822206921,55.27623639,4.459679297
2,85,1,agecat1;2;3.0,0.045454545,-3.091042453,0.2,-1.609437912,11244.88889,9.327668983,22,3.716941954,84.86364233,4.584394959
2,86,1,agecat1;2;3.0,0.050847458,-2.978925155,0.209302326,-1.563975538,50634.95652,10.83239746,59,4.893448537,77.72898601,4.477514455
2,87,1,agecat1;2;3.0,0.111111111,-2.197224577,0.5,-0.693147181,195044.375,12.18098238,9,3.165407724,68.4208304,4.766274796
2,88,1,agecat1;2;3.0,0.023809524,-3.737669618,0.421052632,-0.864997437,44839.18519,10.71083771,42,3.877048447,65.14430357,4.407232338
2,89,1,agecat1;2;3.0,0.076923077,-2.564949357,0.166666667,-1.791759469,28501.0625,10.25769665,26,3.481081538,77.69776352,5.335037805
2,90,1,agecat1;2;3.0,0.066666667,-2.708050201,0.222222222,-1.504077397,97467.09091,11.48727007,15,3.176989522,64.96974301,4.802323182
2,91,1,agecat1;2;3.0,0.019230769,-3.951243719,0.233333333,-1.455287233,198101.9512,12.19653708,52,4.923138485,65.21436616,4.485832819
2,92,1,agecat1;2;3.0,0.0625,-2.772588722,0.375,-0.980829253,265096.75,12.48785013,16,3.402859029,55.20889818,4.748444075
2,93,1,agecat1;2;3.0,0.035714286,-3.33220451,0.318181818,-1.145132304,51701.8,10.85324788,28,3.868803561,64.64070541,4.989371052
2,94,1,agecat1;2;3.0,0.166666667,-1.791759469,0.333333333,-1.098612289,45874.66667,10.73366832,6,1.906800389,85.50734383,4.8622689
2,95,1,agecat1;2;3.0,0.125,-2.079441542,0.333333333,-1.098612289,177407.5714,12.08620503,8,2.112865095,72.84863774,4.818351991
3,0,2,agecat5;2;2.0,0.005813953,-5.147494477,0.268292683,-1.315676794,82773.77005,11.3238665,172,5.998772351,59.81521826,4.462167964
3,1,2,agecat5;2;2.0,0.025641026,-3.663561646,0.0625,-2.772588722,107904.8,11.58900464,39,3.716333959,74.3622837,4.811230687
3,2,2,agecat5;2;2.0,0.00952381,-4.65396035,0.401515152,-0.912510009,72617.18388,11.19295687,315,6.51892891,57.55148614,4.050527123
3,3,2,agecat5;2;2.0,0.011904762,-4.430816799,0.169491525,-1.774952351,78896.61202,11.27589357,168,5.937745147,71.30979286,5.045069532
3,4,2,agecat5;2;2.0,0.064676617,-2.738355551,0.170212766,-1.77070606,29575.29592,10.29469469,201,5.543151781,75.22344386,5.231581782
3,5,2,agecat5;2;2.0,0.074561404,-2.596132285,0.188679245,-1.667706821,29587.32174,10.29510123,228,5.503009372,80.06535953,4.64070323
3,6,2,agecat5;2;2.0,0.1,-2.302585093,0.147058824,-1.916922612,16216.9661,9.693813263,140,5.808364257,85.82418424,4.820133169
3,7,2,agecat5;2;2.0,0.014285714,-4.248495242,0.653846154,-0.424883194,48673.80574,10.79289629,70,4.853289956,57.37562842,4.058676853
3,8,2,agecat5;2;2.0,0.0125,-4.382026635,0.361904762,-1.01637419,32440.95551,10.38717696,240,5.629012981,57.08287048,4.632316936
3,9,2,agecat5;2;2.0,0.046728972,-3.063390922,0.382352941,-0.961411167,26971,10.20251749,107,5.6584467,75.07826073,4.872924547
3,10,2,agecat5;2;2.0,0.151515152,-1.887069649,0.176470588,-1.734601055,103602.7859,11.5483195,33,4.047375477,85.66398972,5.191022486
3,11,2,agecat5;2;2.0,0.043478261,-3.135494216,0.060240964,-2.809402695,83207.51922,11.329093,161,6.061807957,75.15991291,4.763658927
3,12,2,agecat5;2;2.0,0.011406844,-4.473541744,0.202380952,-1.597603455,59827.9209,10.99922774,263,5.645089785,71.14799817,4.554330898
3,13,2,agecat5;2;2.0,0.010830325,-4.525405218,0.152671756,-1.87946505,92335.67358,11.43318584,277,5.71712246,57.33103426,4.996765156
3,14,2,agecat5;2;2.0,0.014285714,-4.248495242,0.261904762,-1.339774345,77905.76,11.26325517,70,4.654254036,56.4677075,4.075534511
3,15,2,agecat5;2;2.0,0.056338028,-2.876385516,0.026666667,-3.624340933,85947.56322,11.36149266,142,5.004183017,85.88604924,4.505468098
3,16,2,agecat5;2;2.0,0.01863354,-3.982792076,0.235294118,-1.446918983,109446.1243,11.60318769,161,5.647743845,60.09020362,4.275745846
3,17,2,agecat5;2;2.0,0.02027027,-3.898599985,0.363636364,-1.011600912,45031.05938,10.71510774,148,5.861286627,66.5896103,4.617236547
3,18,2,agecat5;2;2.0,0.031055901,-3.471966453,0.32,-1.139434283,44370.81609,10.70033724,161,5.117150355,62.78541352,5.082850085
3,19,2,agecat5;2;2.0,0.066666667,-2.708050201,0.346153846,-1.060871961,25795,10.15793595,75,4.7693455,70.54884034,5.192321123
