id,wavenum,fdvsavings_bu_s,ifssmokerstat,fdvgrossfw_bu_s
103138,2009,270000,3.0,746000
103138,2011,300000,3.0,892000
103161,2003,nan,nan,nan
103161,2005,nan,nan,nan
103161,2007,52933,0.0,61933
103161,2009,26000,0.0,31000
103161,2011,2500,0.0,7500
103178,2003,nan,nan,nan
103178,2005,nan,nan,nan
103178,2007,nan,nan,nan
103178,2009,nan,nan,nan
103178,2011,nan,nan,nan
103189,2003,nan,nan,nan
103189,2005,nan,nan,nan
103189,2007,20000,4.0,35030
103189,2009,nan,nan,nan
103189,2011,35000,4.0,42030
103194,2003,nan,nan,nan
103194,2005,14000,3.0,14500
103194,2007,26706,3.0,27206
103194,2009,7656,3.0,8356
103194,2011,9653.865234375,3.0,11454
103216,2003,nan,nan,nan
103216,2005,nan,nan,nan
103216,2007,nan,nan,nan
103216,2009,nan,nan,nan
103216,2011,9000,1.0,9000
103249,2003,nan,nan,nan
103249,2005,nan,nan,nan
103249,2007,nan,nan,nan
103249,2009,nan,nan,nan
103249,2011,nan,nan,nan
103258,2003,nan,nan,nan
103258,2005,nan,nan,nan
103258,2007,nan,nan,nan
103258,2009,nan,nan,nan
103258,2011,100000,-2.0,122000
103311,2003,nan,nan,nan
103311,2005,nan,nan,nan
103311,2007,nan,nan,nan
103311,2009,nan,nan,nan
103311,2011,nan,nan,nan
103321,2003,nan,nan,nan
103321,2005,0,0.0,2317228
103321,2007,0,0.0,2001000
103321,2009,0,0.0,104
103321,2011,200,1.0,1200
103406,2003,nan,nan,nan
103406,2005,1500,3.0,29550
103406,2007,nan,nan,nan
103406,2009,nan,nan,nan
103406,2011,nan,nan,nan
103448,2003,nan,nan,nan
103448,2005,nan,nan,nan
103448,2007,nan,nan,nan
103448,2009,nan,nan,nan
103448,2011,nan,nan,nan
103464,2003,nan,nan,nan
103464,2005,nan,nan,nan
103464,2007,300,2.0,300
103464,2009,8000,2.0,8000
103464,2011,2000,2.0,2000
103480,2003,nan,nan,nan
103480,2005,nan,nan,nan
103480,2007,nan,nan,nan
103480,2009,nan,nan,nan
103480,2011,1500,-2.0,9500
103481,2003,nan,nan,nan
103481,2005,6000,0.0,16000
103481,2007,nan,nan,nan
103481,2009,2000,0.0,25000
103481,2011,8000,-2.0,31000
103505,2003,nan,nan,nan
103505,2005,nan,nan,nan
103505,2007,nan,nan,nan
103505,2009,nan,nan,nan
103505,2011,7000,3.0,13000
103517,2003,nan,nan,nan
103517,2005,nan,nan,nan
103517,2007,34000,2.0,240000
103517,2009,nan,nan,nan
103517,2011,nan,nan,nan
103526,2003,nan,nan,nan
103526,2005,nan,nan,nan
103526,2007,nan,nan,nan
103526,2009,nan,nan,nan
103526,2011,nan,nan,nan
103576,2003,nan,nan,nan
103576,2005,nan,nan,nan
103576,2007,nan,nan,nan
103576,2009,nan,nan,nan
103576,2011,nan,nan,nan
103662,2003,nan,nan,nan
103662,2005,nan,nan,nan
103662,2007,nan,nan,nan
103662,2009,nan,nan,nan
103662,2011,nan,nan,nan
103699,2003,nan,nan,nan
103699,2005,nan,nan,nan
103699,2007,nan,nan,nan
103699,2009,nan,nan,nan
103699,2011,100000,0.0,100000
103712,2003,8000,2.0,8015
103712,2005,5000,2.0,5000
103712,2007,3000,2.0,3000
103712,2009,2600,2.0,2600
103712,2011,6000,2.0,6000
103714,2003,0,0.0,0
103714,2005,0,0.0,0
103714,2007,0,0.0,0
103714,2009,0,0.0,0
103714,2011,500,0.0,500
103722,2003,3600,2.0,3600
103722,2005, ,2.0, 
103722,2007,15000,2.0,15800
103722,2009,20000,2.0,20000
103722,2011,900,2.0,10900
103724,2003,300,2.0,300
103724,2005,200,2.0,200
103724,2007,200,2.0,200
103724,2009,550,2.0,550
103724,2011,850,2.0,850
103725,2003,33000,0.0,643100
103725,2005,38000,0.0,303000
103725,2007,39000,0.0,324000
103725,2009,13000,0.0,77005
103725,2011,30100,0.0,114378
103726,2003,2000,0.0,2000
103726,2005,6000,0.0,6000
103726,2007,2000,0.0,2000
103726,2009,3500,0.0,3500
103726,2011,2000,0.0,2000
103727,2003,18500,2.0,56510
103727,2005,2000,4.0,51812
103727,2007,13000,2.0,50000
103727,2009,48000,-2.0,57000
103727,2011,45010,2.0,65610
103729,2003,6550,0.0,59550
103729,2005,7500,0.0,11500
103729,2007,2500,0.0,6500
103729,2009,6600,0.0,6800
103729,2011,11100,0.0,11100
103731,2003,4000,4.0,4000
103731,2005,100,4.0,100
103731,2007,155000,4.0,196500
103731,2009,110000,4.0,210100
103731,2011,200,2.0,200
103734,2003,6000,4.0,12000
103734,2005,2100,2.0,3100
103734,2007,800,2.0,1700
103734,2009,450,2.0,450
103734,2011,300,2.0,300
103735,2003,700,2.0,705
103735,2005,1100,2.0,1100
103735,2007,500,2.0,500
103735,2009,nan,nan,nan
103735,2011,nan,nan,nan
103736,2003,437,2.0,437
103736,2005,2800,2.0,4800
103736,2007,1000,2.0,1000
103736,2009,20000,2.0,20000
103736,2011,25,2.0,25
103737,2003,500,0.0,200500
103737,2005,29000,0.0,54191
103737,2007,56309,0.0,81499
103737,2009,105000,0.0,105000
103737,2011,52600,0.0,52600
103738,2003,4000,2.0,21000
103738,2005,6000,2.0,28000
103738,2007,4100,2.0,26100
103738,2009,1519,2.0,23519
103738,2011,800,2.0,4800
103739,2003,45000,2.0,45000
103739,2005,104000,2.0,104000
103739,2007,10000,2.0,10070
103739,2009,nan,nan,nan
103739,2011,nan,nan,nan
103740,2003,27000,3.0,49020
103740,2005,13966,3.0,43839
103740,2007,15399.1162109375,4.0,113520
103740,2009,51000,3.0,71000
103740,2011,nan,nan,nan
103742,2003,23000,2.0,23000
103742,2005,21000,2.0,21000
103742,2007,9500,2.0,9500
103742,2009,2000,2.0,2000
103742,2011,970,2.0,970
103744,2003,18000,4.0,18000
